Questions,Answers
Is it okay for me to donate blood?,"In healthcare settings across the United States, donated blood is a lifesaving, essential part of caring for patients. The need for donated blood is constant, and blood centers are open and in urgent need of donations. CDC encourages people who are well to continue to donate blood if they are able, even if they are practicing social distancing because of COVID-19. CDC is supporting blood centers by providing recommendations that will keep donors and staff safe. Examples of these recommendations include spacing donor chairs 6 feet apart, thoroughly adhering to environmental cleaning practices, and encouraging donors to make donation appointments ahead of time."
Should contact lens wearers take special precautions to prevent COVID-19?,"

Currently there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers.
Contact lens wearers should continue to practice safe contact lens wear and care hygiene habits to help prevent against transmission of any contact lens-related infections, such as always washing hands with soap and water before handling lenses.
People who are healthy can continue to wear and care for their contact lenses as prescribed by their eye care professional.

Find more information about how coronavirus spreads and how to protect yourself.
Visit CDC’s contact lens website for more information on healthy contact lens wear and care."
Is contact lens disinfecting solution effective against COVID-19?,"

Hydrogen peroxide-based systems for cleaning, disinfecting, and storing contact lenses should be effective against the virus that causes COVID-19.

For other disinfection methods, such as multipurpose solution and ultrasonic cleaners, there is currently not enough scientific evidence to determine efficacy against the virus.


Always use solution to disinfect your contact lenses and case to kill germs that may be present.
Handle your lenses over a surface that has been cleaned and disinfected.

Find more information about how coronavirus spreads and how to protect yourself.
Visit CDC’s contact lens website for more information on healthy contact lens wear and care."
Should I use soap and water or hand sanitizer to protect against COVID-19?,"Handwashing is one of the best ways to protect yourself and your family from getting sick. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol."
What cleaning products should I use to protect against COVID-19?,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks.  If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. See CDC’s recommendations for household cleaning and disinfection."
What should I do if I get sick or someone in my house gets sick?,"Most people who get COVID-19 will be able to recover at home. CDC has directions for people who are recovering at home and their caregivers, including:

Stay home when you are sick, except to get medical care.
Use a separate room and bathroom for sick household members (if possible).
Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
Provide your sick household member with clean disposable facemasks to wear at home, if available, to help prevent spreading COVID-19 to others.
Clean the sick room and bathroom, as needed, to avoid unnecessary contact with the sick person.

However, some people may need emergency medical attention. Watch for symptoms and learn when to seek emergency medical attention.
When to Seek Emergency Medical Attention
Look for emergency warning signs* for COVID-19. If someone is showing any of these signs, seek emergency medical care immediately

Trouble breathing
Persistent pain or pressure in the chest
New confusion
Inability to wake or stay awake
Bluish lips or face

*This list is not all possible symptoms. Please call your medical provider for any other symptoms that are severe or concerning to you.
Call 911 or call ahead to your local emergency facility: Notify the operator that you are seeking care for someone who has or may have COVID-19."
What should I do if I have had close contact with someone who has COVID-19?,"

The best way to protect yourself and others is to stay home for 14 days if you think you’ve been exposed to someone who has COVID-19. Check your local health department’s website for information about options in your area to possibly shorten this quarantine period.
Be alert for symptoms. Watch for fever, cough, shortness of breath, or other symptoms of COVID-19.
If possible, stay away from others, especially people who are at higher risk for getting very sick from COVID-19.

"
What is the risk of my child becoming sick with COVID-19?,"Children can be infected with the virus that causes COVID-19 and can get sick with COVID-19. Most children with COVID-19 have mild symptoms or they may have no symptoms at all (“asymptomatic”). Fewer children have been sick with COVID-19 compared to adults. However, children with certain underlying medical conditions and infants (less than 1 year old) might be at increased risk for severe illness from COVID-19. Some children have developed a rare but serious disease that is linked to COVID-19 called multisystem inflammatory syndrome (MIS-C).
For more information for parents or caregivers of children, see Children and Teens  and the COVID-19 Parental Resources Kit.
For more information about how people get sick with the virus that causes COVID-19, see How COVID-19 Spreads."
Should children wear masks?,"In general, children 2 years and older should wear a mask. However, CDC recognizes that wearing masks may not be possible in every situation or for some people. Appropriate and consistent use of masks may be challenging for some children, such as children with certain disabilities, including cognitive, intellectual, developmental, sensory and behavioral disorders. Learn more about what you should do if your child or you cannot wear masks in certain situations."
What is multisystem inflammatory syndrome in children (MIS-C)?,"Multisystem inflammatory syndrome in children (MIS-C) is a serious condition associated with COVID-19 where different body parts can become inflamed, including the heart, lungs, kidneys, brain, skin, eyes, or gastrointestinal organs. For information, see MIS-C."
Can my child hang out with their friends during the pandemic?,"The more people your child interacts with, and the longer that interaction, the higher the risk of COVID-19 spread. While your child may spend time with other people when they return to childcare or school settings, reducing the number of people your child interacts with outside people within your household, childcare facility or school can reduce the risk of getting and spreading the virus that causes COVID-19. CDC recommends children 2 years of age and older wear a mask in public settings or when around people who do not live in their household, especially when it is difficult to stay at least 6 feet from others. However, masks should not be a substitute for other preventive measures such as frequent hand washing and staying at least 6 feet away from others.
For more information, see Help Stop the Spread of COVID-19 in Children and considerations for Daily Activities."
Can my child spend time with older adults and people with chronic medical conditions?,"Older adults and people who have certain underlying medical conditions are at increased risk for getting severely ill from COVID-19.

If you live with people at increased risk for severe illness from COVID-19, consider separating your child from them if your child has frequent interactions with those outside the household (like at schools or other settings).
Consider postponing visits or trips to see grandparents, older family members, or family members with underlying medical conditions while there are high levels of transmission (or high number of COVID-19 cases) in your community.
If your child does visit someone who is older or has an underlying medical condition that puts that them at risk of severe illness, your child should stay at least 6 feet away from that person. If your child is 2 years or older, he or she should also wear a mask.
Take steps to help protect your child from COVID-19 in order to reduce the risk of your child spreading the virus that causes COVID-19 to others especially people at increased risk of severe illness.

"
My child has an underlying medical condition. What additional steps should my family take?,"People of any age who have certain underlying medical conditions might be at increased risk for severe illness from COVID-19. In addition to following the recommendations to prevent getting sick, families can take steps recommended for children with underlying conditions.

Consider identifying potential alternative caregivers, in case you or other regular caregivers become sick and are unable to care for your child. If possible, these alternative caregivers should not be at increased risk for severe illness from COVID-19 For more information, see Sick Parents and Caregivers. Make sure these caregivers take extra precautions if your child has a disability.
If your child receives any support care services in the home, such as services from personal care attendants, direct support professionals, or therapists, make plans for what you will do if your child’s direct care providers or anyone in your family gets sick. You can review CDC’s recommendations for Direct Service Providers.

For more information, see Children and Teens and Others who Need Extra Precautions."
How can I prepare for an outbreak in my area?,"Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community:

Talk with the people who need to be included in your plan, and discuss what to do if a COVID-19 outbreak occurs in your community.
Plan ways to care for those who might be at greater risk for serious complications.

Make sure they have access to 2 weeks of medications and supplies in case you need to stay home for prolonged periods of time.


Get to know your neighbors and find out if your neighborhood has a website or social media page to stay connected.
Create a list of local organizations that you and your household can contact in the event you need access to information, healthcare services, support, and resources.
Create an emergency contact list of family, friends, neighbors, carpool drivers, health care providers, teachers, employers, the local public health department, and other community resources.

"
How can I prepare for COVID-19 at work?,"Plan for potential changes at your workplace. Talk to your employer about their emergency operations plan, including sick-leave policies and telework options. Learn how businesses and employers can plan for and respond to COVID-19."
Should I make my own hand sanitizer if I can’t find it in the stores?,"


CDC does not encourage the production and use of homemade hand sanitizer products because of concerns over the correct use of the ingredientsexternal icon and the need to work under sterile conditions to make the product. Local industries that are looking into producing hand sanitizer to fill in for commercial shortages can refer to the World Health Organization guidance.pdf iconexternal icon Organizations should revert to the use of commercially produced, FDA-approved product once such supplies again become available.

To be effective against killing some types of germs, hand sanitizers need to have a strength of at least 60% alcohol and be used when hands are not visibly dirty or greasy.
Do not rely on “Do It Yourself” or “DIY” recipes based solely on essential oils or formulated without correct compounding practices.
Do not use hand sanitizer to disinfect frequently touched surfaces and objects. See CDC’s information for cleaning and sanitizing your home.



"
What are the symptoms and complications that COVID-19 can cause?,"People with COVID-19 have reported a wide range of symptoms – from mild symptoms to severe illness. Symptoms may appear 2-14 days after exposure to the virus. If you have fever, cough, or other symptoms, you might have COVID-19."
When should I seek emergency care if I have COVID-19?,"Look for emergency warning signs* for COVID-19. If someone is showing any of these signs, seek emergency medical care immediately

Trouble breathing
Persistent pain or pressure in the chest
New confusion
Inability to wake or stay awake
Bluish lips or face

*This list is not all possible symptoms. Please call your medical provider for any other symptoms that are severe or concerning to you.
Call 911 or call ahead to your local emergency facility: Notify the operator that you are seeking care for someone who has or may have COVID-19."
Is it possible to have the flu and COVID-19 at the same time?,"Yes. It is possible to test positive for flu (as well as other respiratory infections) and COVID-19 at the same time. Because some of the symptoms of flu and COVID-19 are similar, it may be hard to tell the difference between them based on symptoms alone. Testing may be needed to help confirm a diagnosis.
The best way to prevent seasonal flu is to get vaccinated every year. Flu vaccines will not prevent COVID-19, but they will reduce your chances of getting flu. See Prevent Seasonal Flu for more information."
Should I be tested for a current infection?,"Maybe; not everyone needs to be tested for COVID-19.
If you have symptoms of COVID-19 and want to get tested, call your healthcare provider first. Most people will have mild illness and can recover at home without medical care and may not need to be tested.
CDC has guidance for who should be tested, but decisions about testing are made by state and local health departments and healthcare providers.
You can also visit your state or local health department’s website to look for the latest local information on testing."
How can I get tested for a current infection (viral test) and what does my test mean?,"Decisions about testing are made by state and localexternal icon health departments or healthcare providers. If you have symptoms of COVID-19 and are not tested, it is important to stay home. What to do if you are sick.
COVID-19 testing differs by location. If you have symptoms of COVID-19 and want to get tested, call your healthcare provider first. You can also visit your state or localexternal icon health department’s website to look for the latest local information on testing. The U.S. Food and Drug Administration (FDA) has authorized viral tests that let you collect either a nasal swabexternal icon or a saliva sampleexternal icon at home. However, you will still need to send your sample to a laboratory for analysis.
If you test positive for COVID-19, know what protective steps to take if you are sick or caring for someone.
If you test negative for COVID-19, you probably were not infected at the time your sample was collected. However, that does not mean you will not get sick. The test result only means that you did not have COVID-19 at the time of testing. You might test negative if the sample was collected early in your infection and test positive later during your illness. You could also be exposed to COVID-19 after the test and get infected then. This means you could still spread the virus. If you develop symptoms later, you might need another test to determine if you are infected with the virus that causes COVID-19.
For more information about viral tests, please visit Test for Current Infection."
How can I get tested for a past infection (antibody test) and what does my test mean?,"Antibody tests for COVID-19 are available through healthcare providers and laboratories. Check with your healthcare provider to see if they offer antibody tests and whether you should get one.
A positive test result shows you might have antibodies from an infection with the virus that causes COVID-19. However, there is a chance a positive result means that you have antibodies from an infection with a virus from the same family of viruses (called coronaviruses), such as the one that causes the common cold.
Having antibodies to the virus that causes COVID-19 might provide some protection from getting infected with the virus again. If it does, we do not know how much protection the antibodies might provide or how long this protection might last. Confirmed and suspected cases of reinfection have been reported, but remain rare.
You should continue to protect yourself and others since you could get infected with the virus again.
If you test negative, you might not have ever had COVID-19. Talk with your healthcare provider about your test result and the type of test you took to understand what your result means.
Regardless of whether you test positive or negative, the results do not confirm whether or not you are able to spread the virus that causes COVID-19. Until we know more, continue to take steps to protect yourself and others.
If you want more information about antibody tests, see Test for Past Infection."
Can someone test negative and later test positive on a viral test for COVID-19?,"Yes, it is possible. You may test negative if the sample was collected early in your infection and test positive later during this illness. You could also be exposed to COVID-19 after the test and get infected then. Even if you test negative, you still should take steps to protect yourself and others. See Testing for Current Infection for more information."
Who is at increased risk for developing severe illness from COVID-19?,"People at increased risk include:

Older adults
People of all ages with certain underlying medical conditions

Pregnant people might also be at increased risk of severe illness from COVID-19.
Long-standing systemic health and social inequities have put many people from racial and ethnic minority groups at increased risk of getting sick and dying from COVID-19.
In addition to those at increased risk, there are certain groups of people who require extra precautions during the pandemic."
Are there any medications I should avoid taking if I have COVID-19?,"Currently, there is no evidence to suggest that taking any specific medications, like blood pressure medication or ibuprofen, leads to more severe illness from COVID-19.

Continue to take your medications and to follow your treatment plan as prescribed by your healthcare provider. Any changes to your medications should only be made after talking with your healthcare provider.
Contact your healthcare provider if you have questions or concerns.

For more information, see People with Underlying Medical Conditions."
Are people with disabilities at higher risk?,"Adults with disabilities are more likely to have an underlying medical condition that may put them at increased risk of severe illness from COVID-19 including, but not limited to, heart disease, stroke, diabetes, chronic kidney disease, cancer, high blood pressure, and obesity. In addition, having a disability may make it harder to practice social distancing, wear a mask, and practice hand hygiene.
For more information, see People with Disabilities and People who May Need Extra Precautions.
"
What is the difference between COVID-19 and seasonal allergies?,"COVID-19 is a contagious respiratory illness caused by infection with a new coronavirus (called SARS-CoV-2, the virus that causes COVID-19). Seasonal allergies triggered by airborne pollen can lead to seasonal allergic rhinitis, which affects the nose and sinuses, and seasonal allergic conjunctivitis, which affects the eyes.
COVID-19 and seasonal allergies share many symptoms, but there are some key differences between the two. For example, COVID-19 can cause fever, which is not a common symptom of seasonal allergies. The image below compares symptoms caused by allergies and COVID-19.
Because some of the symptoms of COVID-19 and seasonal allergies are similar, it may be difficult to tell the difference between them, and you may need to get a test to confirm your diagnosis

508 version
*Seasonal allergies do not usually cause shortness of breath or difficulty breathing, unless a person has a respiratory condition such as asthma that can be triggered by exposure to pollen.
This is not a complete list of all possible symptoms of COVID-19 or seasonal allergies. Symptoms vary from person to person and range from mild to severe. You can have symptoms of both COVID-19 and seasonal allergies at the same time.
If you think you have COVID-19, follow CDC’s guidance on ”What to do if you are sick.” If you have an emergency warning sign (including trouble breathing), seek emergency medical care immediately.
Get more information on COVID-19 symptoms, or more information on seasonal allergy symptomsexternal icon."
Does having seasonal allergies increase my risk of contracting COVID-19 or having more severe symptoms if I do contract COVID-19?,"There is not enough scientific information at this time to know whether having seasonal allergies puts you at higher risk of contracting COVID-19 or having more severe symptoms if you do contract COVID-19. We do know that older adults and people who have severe underlying medical conditions like obesity, diabetes, or heart or lung disease are at higher risk for developing more serious complications when they have COVID-19. Get more information on people at high risk for severe COVID-19."
Will I be protected from seasonal allergies if I wear a mask?,"CDC recommends wearing masks to slow the spread of COVID-19. Everyone should wear a mask covering unless they are under 2 years of age, have breathing problems, or are unconscious or incapacitated and would need assistance removing a mask.  Masks also offer some protection against seasonal allergies because they can prevent some larger particles from being inhaled. However, if you have seasonal allergies, masks should not be your only protection against pollen exposure because smaller particles can still get through the covering and be inhaled.
Wash your masks after each use, particularly if you suffer from seasonal allergies, because the covering may carry particles such as pollen. See information on how to wash masks.
"
How can I protect myself from seasonal allergies?,"The best way to protect yourself against seasonal allergies is to reduce your exposure to pollen. During high pollen days:

Limit your time outdoors and seek indoor spaces with clean air.
Create a cleaner air space at home to protect yourself from outdoor air irritants during the COVID-19 pandemic. Use a portable air cleaner in one or more rooms. Portable air cleaners work best when run continuously with doors and windows closed. Do-it-yourself box fan filtration units are a low-cost filtration alternative, but they should never be left unattended.
Keep your cleaner air space a comfortable temperature by using air conditioners, heat pumps, fans, and window shades.
If you have a forced air system in your home, consult a qualified heating, ventilation, and air conditioning (HVAC) professional about different filters (HEPA or MERV-13 or higher) and settings (“Recirculate” and “On” rather than “Auto”) that can be used to reduce indoor air irritants.
If outdoors, avoid activities that stir up pollen, such as mowing lawns or raking leaves. When you return indoors, take a shower and change your clothes.

The EPA website on indoor air and COVID-19external icon and the EPA Guide to Air Cleaners in the Homepdf iconexternal icon provide additional information on improving indoor air quality. You can also find out the daily pollen levels in your area by checking local weather forecasts and pollen counting stationsexternal icon. Learn more about reducing your exposure to respiratory triggers."
What is contact tracing?,"Contact tracing has been used for decades by state and local health departments to slow or stop the spread of infectious diseases.
Contact tracing slows the spread of COVID-19 by

Letting people know they may have been exposed to COVID-19 and should monitor their health for signs and symptoms of COVID-19
Helping people who may have been exposed to COVID-19 get tested
Asking people to self-isolate if they have COVID-19 or self-quarantine if they are a close contact of someone with COVID-19

During contact tracing, the health department staff will not ask you for

Money
Social Security number
Bank account information
Salary information
Credit card numbers

"
What will happen with my personal information during contact tracing?,"Discussions with health department staff are confidential. This means that your personal and medical information will be kept private and only shared with those who may need to know, like your health care provider.
If you have been diagnosed with COVID-19, your name will not be shared with those you came in contact with. The health department will only notify people you were in close contact with that they might have been exposed to COVID-19. Each state and jurisdiction use their own method for collecting and protecting health information. To learn more, contact your state or local health department.
You may also be interested in: If I participate contact tracing for COVID-19 using a digital tool, is my personal health information secure?"
Who is considered a close contact to someone with COVID-19?,"For COVID-19, a close contact is anyone who was within 6 feet of an infected person for a total of 15 minutes or more. An infected person can spread COVID-19 starting 48 hours (or 2 days) before the person has any symptoms or tests positive for COVID-19."
Am I considered a close contact if I was wearing a mask?,"Yes, you are still considered a close contact even if you were wearing a mask while you were around someone with COVID-19. Masks are meant to protect other people in case you are infected, and not to protect you from becoming infected."
"If I am a close contact, will I be tested for COVID-19?","If you have been in close contact with someone who has COVID-19, you should be tested, even if you do not have symptoms of COVID-19. The health department may be able to provide resources for testing in your area.

While you are waiting for your COVID-19 test result, stay home away from others (self-quarantine) and monitor your health for symptoms of COVID-19 to protect your friends, family, and others from possibly getting COVID-19.
If your test is positive, you should continue to stay home and self-isolate away from others and monitor your health. If you have symptoms of COVID-19 and they worsen or become severe, you should seek emergency medical care. Severe symptoms include trouble breathing, persistent pain or pressure in the chest, confusion, inability to wake or stay awake, or bluish lips or face. Someone from the health department may call you to

Check on your health,
Discuss who you have been around, and
Ask where you have spent time while you may have been able to spread COVID-19 to others.


The best way to protect yourself and others is to stay home for 14 days if you think you’ve been exposed to someone who has COVID-19. Check your local health department’s website for information about options in your area to possibly shorten this quarantine period.
If your test is negative and you don’t have symptoms, you should continue to stay home and self-quarantine away from others for 14 days after your last exposure to COVID-19 and follow all recommendations from the health department. This is important because symptoms can appear up to 14 days after you’ve been exposed and are infected. A negative result before the end of your quarantine period does not rule out possible infection. Additionally, you do not need a repeat test unless you develop symptoms, or if you require a test to return to work.
If your test is negative and you have symptoms, you should continue to self-quarantine away from others for 14 days after your last exposure to COVID-19 and follow all recommendations from the health department. Additional medical consultation and a second test may be needed if your symptoms do not improve.

"
What will happen during contact tracing if I am diagnosed with COVID-19?,"If you are diagnosed with COVID-19, someone from the health department may call you to check on your health, discuss who you have been around, and ask where you spent time while you may have been able to spread COVID-19 to others. You will also be asked to continue to stay at home and self-isolate, away from others.

Your name will not be shared with those you came in contact with.
The health department staff will not ask you for

Money
Social Security number
Bank account information
Salary information, or
Credit card numbers


Self-isolation means staying at home in a specific room away from other people and pets, and using a separate bathroom, if possible.
Self-isolation helps slow the spread of COVID-19 and can help protect the health of your family, friends, neighbors, and others you may come in contact.
If you need support or assistance while in self-isolation, your health department or community organizations may be able to provide assistance.

Watch for or monitor your symptoms of COVID-19. If your symptoms worsen or become severe, you should seek medical care."
What will happen during contact tracing if I have been around someone with COVID-19?,"If you were around someone who has been diagnosed with COVID-19, someone from the health department may call you to let you know that you may have been exposed to COVID-19.
The best way to protect yourself and others is to stay home for 14 days if you think you’ve been exposed to someone who has COVID-19. Check your local health department’s website for information about options in your area to possibly shorten this quarantine period. Health department staff will help identify the dates for your self-quarantine. Health department staff can also provide resources for COVID-19 testing in your area.

Self-quarantine means staying home away from others and monitoring your health.
If you need to be around other people or animals in or outside of the home, wear a mask. This will help protect the people around you.
If you need support or assistance while in self-quarantine, your health department or community organizations may be able to provide assistance.

Monitor your health and watch for symptoms of COVID-19. Remember, symptoms may appear 2-14 days after you were exposed to COVID-19. Tell the health department if you develop any symptoms. Tell people you were around recently if you become ill, so they can monitor their health. If your symptoms worsen or become severe, seek medical care. Severe symptoms include trouble breathing, persistent pain or pressure in the chest, new confusion, inability to wake or stay awake, or bluish lips or face.
The health department staff will not ask you for

Money
Social Security number
Bank account information
Salary information, or
Credit card numbers

"
"I was around someone who has COVID-19, and my COVID-19 test came back negative. Do I still need to quarantine for 14 days after I was last exposed?","Yes. You should still self-quarantine for 14 days since your last exposure. It can take up to 14 days after exposure to the virus for a person to develop COVID-19 symptoms. A negative result before end of the 14-day quarantine period does not rule out possible infection. By self-quarantining for 14 days, you lower the chance of possibly exposing others to COVID-19. The best way to protect yourself and others is to stay home for 14 days if you think you’ve been exposed to someone who has COVID-19. Check your local health department’s website for information about options in your area to possibly shorten this quarantine period."
"I was recently around someone who has COVID-19, but I feel fine. Why should I stay at home?","People with COVID-19 can still spread the virus even if they don’t have any symptoms. If you were around someone who had COVID-19, it is critical that you stay home and away from others for 14 days from the last day that you were around that person. Staying home and away from others at all times helps your health department in the fight against COVID-19 and helps protect you, your family, and your community. The best way to protect yourself and others is to stay home for 14 days if you think you’ve been exposed to someone who has COVID-19. Check your local health department’s website for information about options in your area to possibly shorten this quarantine period."
What if I have been around someone who was identified as a close contact?,"If you have been around someone who was identified as a close contact to a person with COVID-19, closely monitor yourself for any symptoms of COVID-19. You do not need to self-quarantine unless you develop symptoms or if the person identified as a close contact develops COVID-19."
Will there be a national app for contact tracing?,"No, there will not be a national app for contact tracing. There are many options available now, and it is up to each state and individual to decide which tools best fit their needs."
"If I participate in contact tracing for COVID-19 using a digital tool, is my personal health information secure?","Yes, if you agree to participate in contact tracing for COVID-19 with the health department, your information is secure.
Discussions with health department staff are confidential. This means that your personal and medical information will be kept private and only shared with those who may need to know, like your health care provider. Your name will not be shared with those you came in contact with. If you have been diagnosed with COVID-19, the health department will only notify people you were in close contact with that they might have been exposed to COVID-19.
Health departments may use case management tools to help make the contact tracing process more efficient. If you choose to provide information through one of these tools, your information is secure and stored with the health department. These tools also help health departments quickly receive and analyze information about COVID-19. Case management tools are under the same laws and regulations for all sensitive health information use (e.g. HIPPA). You must provide consent for the health department to collect information using a case management tool. Just like traditional contact tracing, digital tools will not collect information regarding money, Social Security numbers, bank account information, salary information, or credit card numbers.
Exposure notification tools may be an app that you can download on your personal cell phone. If you choose to download an exposure notification app for COVID-19, your information is secure. Exposure notification apps are developed in collaboration with or endorsed by health departments. These apps undergo rigorous testing to determine their trustworthiness, security, and ability to protect people’s privacy. Until you give consent to share information with your local health department, any information you have entered into the app is stored only on your personal phone. Your information is stored only on your own phone and is not sent to the health department or any other third party. The app and your information can be deleted any time. When you consent to share your information with the local health department, your information is secure."
Will I be required to download a contact tracing app for COVID-19 on my phone?,"No, you are not required to download an app to give information for contact tracing for COVID-19. Health departments commonly use case management tools to make the contact tracing process more efficient. These types of tools are not downloaded on personal cell phones.
If you choose to give information to your local or state health department for contact tracing for COVID-19, you do not need to download an app on your cell phone. The health department staff may call you to

Check on your health,
Discuss who you have been around, and
Ask where you have spent time while you may have been able to spread COVID-19 to others.

It is up to you to decide if you download an exposure notification app for COVID-19."
Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19?,"There is currently no known risk associated with being in the same room at a funeral or visitation service with the body of someone who died of COVID-19. However, you may be at risk of getting COVID-19 if you attend a funeral where there are multiple people congregating. For more information about what you can do to help protect yourself and others from COVID-19 during these services, and to help cope with the loss of a loved one, see Funeral Guidance."
What should loved ones know about handling belongings and the body of someone who died from COVID-19?,"The virus that causes COVID-19 is thought to spread from close contact (i.e., within about 6 feet) with a person who is infected with the virus. The virus spreads primarily through respiratory droplets produced when an infected person coughs, sneezes, or talks.
This type of spread is not a concern after death. It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads. If the deceased person had confirmed or suspected COVID-19, avoid kissing, washing, or shrouding the body before, during, and after the body has been prepared, if possible. For more information on recommended precautions while handling the belongings and the body of someone who died from COVID-19, see Funeral Guidance."
